log2(PTR):genome_id/sample_id,0_F1_S13_R1,0_F2_S17_R1,0_F3_S21_R1,0_M1_S1_R1,0_M2_S5_R1,0_M3_S9_R1,10_F1_S23_R1,10_F2_S27_R1,10_F3_S31_R1,10_M1_S11_R1,10_M2_S15_R1,10_M3_S19_R1,15_F1_S16_R1,15_F2_S20_R1,15_F3_S24_R1,15_M1_S4_R1,15_M2_S8_R1,15_M3_S12_R1,2_F1_S6_R1,2_F2_S10_R1,2_F3_S14_R1,2_M1_S25_R1,2_M2_S29_R1,2_M3_S2_R1,5_F1_S30_R1,5_F2_S3_R1,5_F3_S7_R1,5_M1_S18_R1,5_M2_S22_R1,5_M3_S26_R1,HG1_S11_R1_001,HG2_S12_R1_001,HG3_S13_R1_001
Akkermansia_muciniphila,0.34076841896839566,0.2592128267584183,0.3416136124638341,0.40579389081668804,0.37928753906657753,0.4064713020342141,0.24110876203137702,0.24774002452324875,0.22764682947632423,0.3383430622201866,0.4505328800235483,0.3925745474422051,,0.06798521637208174,,0.4222090734073523,,0.43623953429241724,0.3185660884689572,0.3596842755324574,0.381914854925342,0.3541820831247651,0.3551386429963541,0.32370779618087436,0.28077810872899855,0.26329860485423057,0.2562440602213879,0.41281630744344083,0.36624149737686384,0.2971217137284252,0.5569243902215221,0.5059048578811528,0.5125110824388979
Bacteroides_ovatus,0.4110354602297652,0.1906961693557413,0.3689117558791521,0.41999470074399675,0.41364337339427676,0.4001709223842489,0.26846183882225805,0.29879149752663214,0.529082696504288,0.3004106049647298,0.5234928298724152,0.5072941032538054,0.4885873297647956,0.7056938768587011,0.43577290808648766,0.49409029041429503,0.4186345725523562,0.4743916756972222,0.22826883588324967,0.38744524201686725,0.2022336277852995,0.40976769903428056,0.4241396651641597,0.46229960568522344,0.22878456708491704,0.20062852031100512,0.17198773723326918,0.3929801998026649,0.3952515152529659,0.3317744762768676,0.7140409450359622,0.7305068978092967,0.7406059507152112
Collinsella_stercoris,0.49722997322454726,0.20672260753011984,0.5508854899680046,0.4736559694814417,0.4837928855653909,0.5241480771118308,0.2841672055177395,0.40271350233938247,0.5053405218393533,0.18264471598181595,,,0.47668712366584665,0.5393277652738413,0.4388830753834183,0.7180762009680283,0.7271872038201058,0.6508818720287427,0.3068999178953959,0.47693862765344086,0.1739463851575021,0.6438248175317419,0.6788275212262397,0.5210424492528727,0.2577936690963926,0.3974274356448191,0.2580461626914188,0.5205967265345883,,0.4530305106169227,0.18966688349437427,0.1453413216202076,0.16200971279745274
Escherichia_coli,0.4964537565814724,0.22397228808773825,0.40060857153263707,0.5887421637130279,0.5252937748437082,0.5827250963249022,0.16629948180797688,0.2302700340617466,0.35820243358688886,0.29315891814985084,0.550616500929223,0.4711913192121448,0.7119991125775487,0.7112471933157264,0.4955430182788169,0.49498624672767816,0.5620312421015706,0.779794650880838,0.2919865861014562,0.3401870193744691,0.2929562366100907,0.4606985145983206,0.47872582669025754,0.5585474804208024,0.35355710481387304,0.31161344221109327,0.321557947128798,0.43306541984045815,0.30082650642369874,0.5682932084196044,0.6455974432825173,0.6690388096528759,0.6501262100205503
Eubacterium_rectale,,,,,,,,,,,,,,,,,,,0.2203410301593477,0.2968967005504736,0.2010257330562162,,,,,,,,,,,,
Faecalibacterium_prausnitzii,,,,0.7143084843731355,0.684535935116712,0.7759239647097592,,,,0.46709981536683787,0.9536738450923418,0.7921509942236388,,,,,,,,,,,,,,,,,,,1.3728397673434383,1.3897942058098627,1.366608916085075
M_intestinale,0.2888059711145759,0.1917641421329998,0.28481990250018835,0.3897173598841947,7.744071611047881e-07,0.002854351359591855,5.2986701003645885e-06,0.050259467364698135,,0.15096369643572788,,,,,,,,0.05149548496393353,0.24130292033485704,0.15560830525516237,0.20932389111552932,0.2359665606927817,0.22140211248319744,0.06492287639848565,0.28041503499496445,0.0568862889875724,0.27263577089013397,0.30976206814577634,0.14268322116476959,0.07515583790369082,0.072826127873046,0.1155233094230481,0.08995464977358797
B_theta,0.3154737835408331,0.24865114120758977,0.293100562359326,0.4384094124266102,0.41692350004166656,0.4193354418397444,0.2758401565520895,0.28009601240616866,0.35222877857613577,0.3456298661727367,0.38173908792005845,0.39538030920987915,0.4516834311791631,0.33968195278350144,0.3250059235871027,0.29779363702822453,0.3075282291048156,0.35312056408695397,0.2902326275005856,0.35483330712255773,0.31713489403143746,0.3625543710486498,0.38111339202074523,0.4065134732798746,0.26768929966640886,0.27379618433469133,0.32638779431312565,0.314425005760383,0.2960230387054118,0.28444200611555215,0.6912298448481623,0.6463842270600512,0.6853334383326881
Clostridium_sporogenes,0.3533052960929707,0.15055676049900488,0.12366673518239273,0.3071706084740417,0.35293108874204665,0.4169917605410119,0.40160718570515785,0.40619837493823274,0.4727528311122404,0.30412080867293123,0.5646914628157922,0.49668810015933273,0.6102078511368374,0.47520856806078304,0.4159908125253629,0.276973263616924,0.4312142647371712,0.504088024382608,0.08939092733933099,0.2694028789297012,0.19852152468541673,0.35642160511440746,0.3048368290410514,0.3428282437878892,0.22785083671003675,0.20851984977964838,0.04145900507955,0.3029481219414274,0.13903823516319364,0.39136198968242863,0.8595869940590863,0.8662394577162169,0.87272996635417
Enterococcus_faecalis,0.5075614380096202,0.4098837539188001,0.5320868134935428,0.573570016695068,0.5921194343668857,0.5960452019948039,0.43282974978189925,0.39349427131356224,0.5340063801929669,0.5249551469323622,0.5270124975011758,0.6456835505667132,0.3489710293082062,0.45489030019528387,0.39226560722948073,0.4648152914625813,0.5500627945569414,0.5575557894299188,0.561640794686219,0.5176114072547922,0.4710105683601531,0.5671787998386633,0.5638668014276293,0.582014760864416,0.46483056926358707,0.49440895568073345,0.43435793742991397,0.5196459136640389,0.47720315898310844,0.4782517551370323,0.9787468508183598,0.972316921254541,0.9358974876895525
